userId,longest_run,gender,max_hr,easy_pace,easy_hr,aerobic,avg_weekly_distance_m,active_weeks,consistency_std,fastest_5k,fastest_5k_str
69,43670.6,male,191.0,6.2222857142857135,145.31071428571428,0.042820556934647425,20904.129090909093,55,17998.65330583326,1423.7431675145306,23:43
2358,41235.6,male,196.0,4.996324324324324,144.14054054054054,0.03466286657166429,29487.68487394958,119,17092.215841551264,1141.2425379873728,19:01
3808,42191.5,male,200.0,5.730266666666666,139.09333333333333,0.04119727760736196,20724.00875,80,14299.43044955176,1406.6351432608299,23:26
4101,21199.1,male,183.0,4.917375,154.8625,0.031753168133021224,19921.34375,16,7461.070047740582,1332.9520119085414,22:12
4434,6281.1,male,183.0,7.2075,111.9125,0.06440299341003015,6320.429166666666,24,3177.185485748581,1639.4687398724427,27:19
5197,38329.0,male,199.0,5.979948717948718,121.40512820512821,0.04925614598293486,35492.42173913044,46,30731.376679752735,1448.711111566018,24:08
5703,21022.0,male,191.0,5.5276000000000005,159.44,0.03466884094330156,7313.516666666666,24,4233.9194259925525,1415.2268716136625,23:35
5844,9968.2,male,188.0,5.421666666666667,127.31666666666666,0.04258410786752193,8016.266666666667,21,3834.2873303044635,1463.30248020129,24:23
13653,29695.6,male,200.0,5.5087627118644065,160.17288135593222,0.03439260544750375,28991.174193548388,124,12735.076334613559,1480.4102815418958,24:40
16786,39170.5,male,200.0,5.22978125,148.428125,0.03523443585910689,19951.117567567566,74,12241.966135672303,1319.4789833882714,21:59
34269,39948.6,male,180.0,5.4784999999999995,142.975,0.03831788774261234,21414.946666666667,90,15928.083360468154,1386.7851388116771,23:06
56291,41907.5,male,200.0,5.522775862068965,138.57672413793102,0.03985356051981661,22216.826470588232,204,11889.292516186717,1293.4204669839596,21:33
56331,42097.1,male,199.0,5.092951219512195,152.51463414634148,0.033393196974300744,21459.234399999998,125,10896.375275633458,1205.9515417946177,20:05
68009,41668.7,male,200.0,5.0586,142.50210526315792,0.03549842292265303,25597.27245508982,167,18047.384186119754,1143.4988565876467,19:03
68129,42226.4,male,198.0,5.340531914893617,144.2148936170213,0.03703176406367566,28851.447422680412,97,19305.904964339352,1276.910429558266,21:16
71988,21054.8,male,197.0,5.1539375,151.84375,0.03394237497427454,10689.880769230771,52,6848.461409146152,1358.1476044252968,22:38
